Driver,LapNumber,LapTime,Compound,Stint,TyreLife,IsAccurate,LapTimeSeconds
VER,2.0,0 days 00:01:37.974000,SOFT,1.0,5.0,True,97.974
VER,3.0,0 days 00:01:38.006000,SOFT,1.0,6.0,True,98.006
VER,4.0,0 days 00:01:37.976000,SOFT,1.0,7.0,True,97.976
VER,5.0,0 days 00:01:38.035000,SOFT,1.0,8.0,True,98.035
VER,6.0,0 days 00:01:37.986000,SOFT,1.0,9.0,True,97.986
VER,7.0,0 days 00:01:38.021000,SOFT,1.0,10.0,True,98.021
VER,8.0,0 days 00:01:38.154000,SOFT,1.0,11.0,True,98.154
VER,9.0,0 days 00:01:38.278000,SOFT,1.0,12.0,True,98.278
VER,10.0,0 days 00:01:38.369000,SOFT,1.0,13.0,True,98.369
VER,11.0,0 days 00:01:38.483000,SOFT,1.0,14.0,True,98.483
VER,12.0,0 days 00:01:38.591000,SOFT,1.0,15.0,True,98.591
VER,13.0,0 days 00:01:38.482000,SOFT,1.0,16.0,True,98.482
VER,16.0,0 days 00:01:37.801000,SOFT,2.0,2.0,True,97.801
VER,17.0,0 days 00:01:37.648000,SOFT,2.0,3.0,True,97.648
VER,18.0,0 days 00:01:37.614000,SOFT,2.0,4.0,True,97.614
VER,19.0,0 days 00:01:37.712000,SOFT,2.0,5.0,True,97.712
VER,20.0,0 days 00:01:37.788000,SOFT,2.0,6.0,True,97.788
VER,21.0,0 days 00:01:37.582000,SOFT,2.0,7.0,True,97.582
VER,22.0,0 days 00:01:37.651000,SOFT,2.0,8.0,True,97.651
VER,23.0,0 days 00:01:37.552000,SOFT,2.0,9.0,True,97.552
VER,24.0,0 days 00:01:37.387000,SOFT,2.0,10.0,True,97.387
VER,25.0,0 days 00:01:37.372000,SOFT,2.0,11.0,True,97.372
VER,26.0,0 days 00:01:37.682000,SOFT,2.0,12.0,True,97.682
VER,27.0,0 days 00:01:37.379000,SOFT,2.0,13.0,True,97.379
VER,28.0,0 days 00:01:37.651000,SOFT,2.0,14.0,True,97.651
VER,29.0,0 days 00:01:37.571000,SOFT,2.0,15.0,True,97.571
VER,30.0,0 days 00:01:37.549000,SOFT,2.0,16.0,True,97.549
VER,31.0,0 days 00:01:37.431000,SOFT,2.0,17.0,True,97.431
VER,32.0,0 days 00:01:37.691000,SOFT,2.0,18.0,True,97.691
VER,33.0,0 days 00:01:37.686000,SOFT,2.0,19.0,True,97.686
VER,34.0,0 days 00:01:37.839000,SOFT,2.0,20.0,True,97.839
VER,35.0,0 days 00:01:37.850000,SOFT,2.0,21.0,True,97.85
VER,38.0,0 days 00:01:36.297000,HARD,3.0,2.0,True,96.297
VER,39.0,0 days 00:01:36.446000,HARD,3.0,3.0,True,96.446
VER,40.0,0 days 00:01:36.942000,HARD,3.0,4.0,True,96.942
VER,43.0,0 days 00:01:36.890000,HARD,3.0,7.0,True,96.89
VER,44.0,0 days 00:01:36.236000,HARD,3.0,8.0,True,96.236
VER,45.0,0 days 00:01:37.015000,HARD,3.0,9.0,True,97.015
VER,46.0,0 days 00:01:36.701000,HARD,3.0,10.0,True,96.701
VER,47.0,0 days 00:01:37.009000,HARD,3.0,11.0,True,97.009
VER,48.0,0 days 00:01:36.918000,HARD,3.0,12.0,True,96.918
VER,49.0,0 days 00:01:36.962000,HARD,3.0,13.0,True,96.962
VER,50.0,0 days 00:01:37.250000,HARD,3.0,14.0,True,97.25
VER,51.0,0 days 00:01:37.427000,HARD,3.0,15.0,True,97.427
VER,52.0,0 days 00:01:36.919000,HARD,3.0,16.0,True,96.919
VER,53.0,0 days 00:01:36.890000,HARD,3.0,17.0,True,96.89
VER,54.0,0 days 00:01:36.678000,HARD,3.0,18.0,True,96.678
VER,55.0,0 days 00:01:36.322000,HARD,3.0,19.0,True,96.322
VER,56.0,0 days 00:01:37.205000,HARD,3.0,20.0,True,97.205
VER,57.0,0 days 00:01:36.373000,HARD,3.0,21.0,True,96.373
GAS,2.0,0 days 00:01:40.438000,SOFT,1.0,2.0,True,100.438
GAS,3.0,0 days 00:01:40.643000,SOFT,1.0,3.0,True,100.643
GAS,4.0,0 days 00:01:40.894000,SOFT,1.0,4.0,True,100.894
GAS,5.0,0 days 00:01:40.818000,SOFT,1.0,5.0,True,100.818
GAS,6.0,0 days 00:01:41.110000,SOFT,1.0,6.0,True,101.11
GAS,7.0,0 days 00:01:41.134000,SOFT,1.0,7.0,True,101.134
GAS,8.0,0 days 00:01:41.173000,SOFT,1.0,8.0,True,101.173
GAS,11.0,0 days 00:01:38.762000,HARD,2.0,2.0,True,98.762
GAS,12.0,0 days 00:01:38.928000,HARD,2.0,3.0,True,98.928
GAS,13.0,0 days 00:01:39.349000,HARD,2.0,4.0,True,99.349
GAS,14.0,0 days 00:01:38.859000,HARD,2.0,5.0,True,98.859
GAS,15.0,0 days 00:01:38.985000,HARD,2.0,6.0,True,98.985
GAS,16.0,0 days 00:01:38.945000,HARD,2.0,7.0,True,98.945
GAS,17.0,0 days 00:01:39.011000,HARD,2.0,8.0,True,99.011
GAS,18.0,0 days 00:01:39.029000,HARD,2.0,9.0,True,99.029
GAS,19.0,0 days 00:01:39.066000,HARD,2.0,10.0,True,99.066
GAS,20.0,0 days 00:01:39.017000,HARD,2.0,11.0,True,99.017
GAS,21.0,0 days 00:01:39.327000,HARD,2.0,12.0,True,99.327
GAS,22.0,0 days 00:01:39.485000,HARD,2.0,13.0,True,99.485
GAS,23.0,0 days 00:01:39.263000,HARD,2.0,14.0,True,99.263
GAS,24.0,0 days 00:01:39.761000,HARD,2.0,15.0,True,99.761
GAS,27.0,0 days 00:01:38.729000,HARD,3.0,2.0,True,98.729
GAS,28.0,0 days 00:01:37.761000,HARD,3.0,3.0,True,97.761
GAS,29.0,0 days 00:01:38.012000,HARD,3.0,4.0,True,98.012
GAS,30.0,0 days 00:01:37.760000,HARD,3.0,5.0,True,97.76
GAS,31.0,0 days 00:01:37.968000,HARD,3.0,6.0,True,97.968
GAS,32.0,0 days 00:01:38.012000,HARD,3.0,7.0,True,98.012
GAS,33.0,0 days 00:01:37.974000,HARD,3.0,8.0,True,97.974
GAS,34.0,0 days 00:01:38.022000,HARD,3.0,9.0,True,98.022
GAS,35.0,0 days 00:01:38.088000,HARD,3.0,10.0,True,98.088
GAS,36.0,0 days 00:01:38.184000,HARD,3.0,11.0,True,98.184
GAS,37.0,0 days 00:01:38.133000,HARD,3.0,12.0,True,98.133
GAS,38.0,0 days 00:01:38.108000,HARD,3.0,13.0,True,98.108
GAS,39.0,0 days 00:01:38.537000,HARD,3.0,14.0,True,98.537
GAS,42.0,0 days 00:01:35.068000,SOFT,4.0,2.0,True,95.068
GAS,43.0,0 days 00:01:35.942000,SOFT,4.0,3.0,True,95.942
GAS,44.0,0 days 00:01:35.792000,SOFT,4.0,4.0,True,95.792
GAS,45.0,0 days 00:01:36.186000,SOFT,4.0,5.0,True,96.186
GAS,46.0,0 days 00:01:36.041000,SOFT,4.0,6.0,True,96.041
GAS,47.0,0 days 00:01:36.120000,SOFT,4.0,7.0,True,96.12
GAS,48.0,0 days 00:01:36.368000,SOFT,4.0,8.0,True,96.368
GAS,49.0,0 days 00:01:36.803000,SOFT,4.0,9.0,True,96.803
GAS,50.0,0 days 00:01:36.551000,SOFT,4.0,10.0,True,96.551
GAS,51.0,0 days 00:01:36.635000,SOFT,4.0,11.0,True,96.635
GAS,52.0,0 days 00:01:36.891000,SOFT,4.0,12.0,True,96.891
GAS,53.0,0 days 00:01:36.979000,SOFT,4.0,13.0,True,96.979
GAS,54.0,0 days 00:01:37.222000,SOFT,4.0,14.0,True,97.222
GAS,55.0,0 days 00:01:37.559000,SOFT,4.0,15.0,True,97.559
GAS,56.0,0 days 00:01:37.845000,SOFT,4.0,16.0,True,97.845
GAS,57.0,0 days 00:01:38.147000,SOFT,4.0,17.0,True,98.147
PER,2.0,0 days 00:01:38.862000,SOFT,1.0,5.0,True,98.862
PER,3.0,0 days 00:01:38.830000,SOFT,1.0,6.0,True,98.83
PER,4.0,0 days 00:01:38.758000,SOFT,1.0,7.0,True,98.758
PER,5.0,0 days 00:01:38.404000,SOFT,1.0,8.0,True,98.404
PER,6.0,0 days 00:01:38.718000,SOFT,1.0,9.0,True,98.718
PER,7.0,0 days 00:01:38.804000,SOFT,1.0,10.0,True,98.804
PER,8.0,0 days 00:01:39.172000,SOFT,1.0,11.0,True,99.172
PER,9.0,0 days 00:01:38.914000,SOFT,1.0,12.0,True,98.914
